T01001	hsa	Homo sapiens (human)	Eukaryotes;Animals;Vertebrates;Mammals
T01744	suu	Staphylococcus aureus subsp. aureus M013 (CA-MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T01745	suv	Staphylococcus aureus subsp. aureus VC40	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T01869	sue	Staphylococcus aureus subsp. aureus ED133	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T01870	suj	Staphylococcus aureus subsp. aureus JKD6159 (CA-MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T01886	suk	Staphylococcus aureus subsp. aureus JKD6008 (MRSA/VISA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T01887	suc	Staphylococcus aureus subsp. aureus ECT-R 2 (MSSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T01888	sut	Staphylococcus aureus subsp. aureus T0131 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T01889	suq	Staphylococcus aureus subsp. aureus TCH60	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T01950	suz	Staphylococcus aureus subsp. aureus 11819-97 (CA-MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02043	sud	Staphylococcus aureus subsp. aureus 71193 (MSSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02059	sux	Staphylococcus aureus subsp. aureus HO 5096 0412 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02060	suw	Staphylococcus aureus subsp. aureus TW20 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02071	sug	Staphylococcus aureus subsp. aureus ST398 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02085	suf	Staphylococcus aureus subsp. aureus LGA251 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02810	saua	Staphylococcus aureus subsp. aureus 55/2053	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02825	saue	Staphylococcus aureus subsp. aureus 6850 (MSSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02826	saun	Staphylococcus aureus subsp. aureus CN1 (CA-MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02849	saus	Staphylococcus aureus subsp. aureus SA40 (CA-MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02850	sauu	Staphylococcus aureus subsp. aureus SA957 (CA-MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T03790	saug	Staphylococcus aureus subsp. aureus SA268 (CA-MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02886	sauz	Staphylococcus aureus subsp. aureus Z172 (MRSA/VISA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T03143	saut	Staphylococcus aureus subsp. aureus ST228/10388 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T03144	sauj	Staphylococcus aureus subsp. aureus ST228/10497 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T03145	sauk	Staphylococcus aureus subsp. aureus ST228/15532 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
